Agência: 1234 / Conta: 56789-0
Titular: CONEXAO DIGITAL LTDA ME
CNPJ: 45.123.456/0001-89
Período: 01/05/2025 a 30/09/2025

Data;Histórico;Documento;Valor;Saldo
01/05/2025;SALDO ANTERIOR;;;42.350,00
02/05/2025;PIX RECEBIDO - SHOPIFY PAYMENTS;PIX;1.890,00;44.240,00
05/05/2025;PIX RECEBIDO - SHOPIFY PAYMENTS;PIX;3.420,00;47.660,00
05/05/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-7.500,00;40.160,00
05/05/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-3.200,00;36.960,00
06/05/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.230,00;42.190,00
08/05/2025;PIX ENVIADO - BRUNO NASCIMENTO (INFLUENCER);PIX;-1.200,00;40.990,00
12/05/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-4.800,00;36.190,00
12/05/2025;PIX RECEBIDO - SHOPIFY PAYMENTS;PIX;2.780,00;38.970,00
13/05/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.870,00;43.840,00
15/05/2025;PIX ENVIADO - MARIANA LOPES (INFLUENCER);PIX;-2.800,00;41.040,00
18/05/2025;REMESSA INTERNACIONAL - WISE;WIRE;-12.340,00;28.700,00
20/05/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.120,00;33.820,00
20/05/2025;DAS SIMPLES NACIONAL;DEB;-2.094,00;31.726,00
22/05/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;4.560,00;36.286,00
25/05/2025;ALUGUEL - IMOB IPANEMA;DEB;-5.200,00;31.086,00
28/05/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-5.100,00;25.986,00
28/05/2025;TED ENVIADA - DISTRIBUIDORA SILVA (FRETE);TED;-420,00;25.566,00
30/05/2025;CIELO - VENDAS CARTÃO LOJA;CRD;6.340,00;31.906,00
30/05/2025;PIX RECEBIDO - SHOPIFY;PIX;3.210,00;35.116,00
02/06/2025;PIX RECEBIDO - SHOPIFY PAYMENTS;PIX;2.340,00;37.456,00
05/06/2025;REMESSA INTERNACIONAL - WISE (MARTINEZ);WIRE;-8.200,00;29.256,00
06/06/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.120,00;33.376,00
10/06/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-5.200,00;28.176,00
10/06/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-2.750,00;25.426,00
12/06/2025;PIX ENVIADO - BRUNO NASCIMENTO;PIX;-1.500,00;23.926,00
13/06/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.890,00;28.816,00
15/06/2025;PIX RECEBIDO - SHOPIFY;PIX;3.560,00;32.376,00
18/06/2025;DAS SIMPLES NACIONAL;DEB;-3.137,00;29.239,00
20/06/2025;PIX ENVIADO - JULIA FERREIRA (INFLUENCER);PIX;-4.500,00;24.739,00
20/06/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.670,00;30.409,00
22/06/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;3.890,00;34.299,00
25/06/2025;ALUGUEL - IMOB IPANEMA;DEB;-5.200,00;29.099,00
25/06/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-2.560,00;26.539,00
27/06/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.230,00;30.769,00
30/06/2025;TED ENVIADA - DISTRIBUIDORA SILVA (FRETE);TED;-380,00;30.389,00
30/06/2025;PIX RECEBIDO - SHOPIFY;PIX;2.890,00;33.279,00
02/07/2025;ICMS-ST IMPORTAÇÃO;DEB;-4.150,00;29.129,00
03/07/2025;REMESSA INTERNACIONAL - WISE (PACIFIC TRADING);WIRE;-13.340,00;15.789,00
05/07/2025;PIX ENVIADO - MARIANA LOPES;PIX;-3.200,00;12.589,00
06/07/2025;CIELO - VENDAS CARTÃO LOJA;CRD;3.560,00;16.149,00
08/07/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-3.400,00;12.749,00
10/07/2025;PIX RECEBIDO - SHOPIFY;PIX;4.120,00;16.869,00
13/07/2025;CIELO - VENDAS CARTÃO LOJA;CRD;3.890,00;20.759,00
15/07/2025;META ADS - FACEBOOK;DEB;-2.150,00;18.609,00
18/07/2025;PIX ENVIADO - BIA SANTOS (PERMUTA NF);PIX;0,00;18.609,00
20/07/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.120,00;22.729,00
21/07/2025;DAS SIMPLES NACIONAL;DEB;-2.902,00;19.827,00
21/07/2025;MULTA DAS ATRASO;DEB;-29,02;19.797,98
22/07/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-10.200,00;9.597,98
25/07/2025;ALUGUEL - IMOB IPANEMA;DEB;-5.200,00;4.397,98
25/07/2025;PIX ENVIADO - BRUNO NASCIMENTO;PIX;-1.800,00;2.597,98
25/07/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;5.670,00;8.267,98
27/07/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.230,00;12.497,98
30/07/2025;PIX RECEBIDO - SHOPIFY;PIX;3.450,00;15.947,98
31/07/2025;TED ENVIADA - DISTRIBUIDORA SILVA (FRETE);TED;-450,00;15.497,98
01/08/2025;REMESSA INTERNACIONAL - WISE (PACIFIC);WIRE;-3.200,00;12.297,98
01/08/2025;PIX ENVIADO - JULIA FERREIRA (1a PARC);PIX;-4.000,00;8.297,98
03/08/2025;PIX RECEBIDO - SHOPIFY;PIX;3.890,00;12.187,98
05/08/2025;TED ENVIADA - DISTRIBUIDORA SILVA;TED;-12.300,00;-112,02
05/08/2025;CIELO - VENDAS CARTÃO LOJA;CRD;4.560,00;4.447,98
05/08/2025;TARIFA CHEQUE ESPECIAL;DEB;-89,50;4.358,48
08/08/2025;PIX RECEBIDO - SHOPIFY;PIX;2.670,00;7.028,48
10/08/2025;CIELO - VENDAS CARTÃO LOJA;CRD;5.120,00;12.148,48
12/08/2025;REMESSA INTERNACIONAL - WISE (PACIFIC);WIRE;-15.600,00;-3.451,52
12/08/2025;PIX RECEBIDO - MERCADO LIVRE;PIX;6.230,00;2.778,48
13/08/2025;TARIFA CHEQUE ESPECIAL;DEB;-156,30;2.622,18
