PACIFIC TRADING LTDA - STATEMENT
Period: July 2025 to September 2025
Account: #PT-4892

Date,Invoice,Description,Amount (USD),Status
07/03/2025,INV-20250703-A,Shipping container #442 - Mixed electronics,12450.00,PAID
07/03/2025,INV-20250703-B,Customs clearance fee,890.00,PAID
07/18/2025,INV-20250718,Shipping container #443 - Phone accessories batch,8920.00,PAID
07/18/2025,,Insurance - container #443,340.00,PAID
08/01/2025,INV-20250801,Air freight - urgent restock capinhas premium,3200.00,PAID
08/12/2025,INV-20250812-A,Shipping container #445 - Cables & chargers,15600.00,PAID
08/12/2025,INV-20250812-B,Port handling + storage (3 days),1120.00,PENDING
08/29/2025,INV-20250829,Sample batch - new product line (fones TWS),2100.00,PAID
09/05/2025,INV-20250905,Shipping container #447 - Q4 pre-stock,22300.00,PAID
09/05/2025,,Fumigation certificate,180.00,PAID
09/15/2025,INV-20250915,Defective returns credit (container #442),-1850.00,CREDIT
09/22/2025,INV-20250922,Shipping container #448 - Holiday season stock,18750.00,PENDING
